Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
500101,Arvind Ltd,Susheel Kaul,Director,Equity Shares,162692,0.06,Equity Shares,133333,35193246.00,Acquisition,Equity,296025,0.11,26 May 2025,26 May 2025,26 May 2025,ESOP,,,,,,,NA,27 May 2025
501622,Amalgamated Electricity Company Ltd,Tropical Securities and Investments Private Limited,Promoter Group,Equity Shares,200,0.01,Equity Shares,200,1000.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Inter-se Transfer,,,,,,,BSE,27 May 2025
501622,Amalgamated Electricity Company Ltd,Harbinger Trading Company Private Limited,Promoter Group,Equity Shares,182144,6.56,Equity Shares,182144,910720.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Inter-se Transfer,,,,,,,BSE,27 May 2025
501622,Amalgamated Electricity Company Ltd,MILAN DALAL,Promoter & Director,Equity Shares,7716,0.28,Equity Shares,7716,38580.00,Disposal,Equity,0,0.00,23 May 2025,23 May 2025,26 May 2025,Inter-se Transfer,,,,,,,BSE,27 May 2025
501622,Amalgamated Electricity Company Ltd,Apurva Investments Company Limited,Promoter Group,Equity Shares,62502,2.25,Equity Shares,190060,950300.00,Acquisition,Equity,252562,9.09,23 May 2025,23 May 2025,26 May 2025,Inter-se Transfer,,,,,,,BSE,27 May 2025
502157,Mangalam Cement Ltd,Vidula Consultancy Services Limited,Promoter,Equity Shares,3991920,14.52,Equity Shares,250000,203750000.00,Acquisition,Equity,4241920,15.43,26 May 2025,26 May 2025,26 May 2025,Inter-se Transfer,,,,,,,NSE,27 May 2025
502157,Mangalam Cement Ltd,Pilani Investment and Industries Corporation Limited,Promoter,Equity Shares,1020000,3.71,Equity Shares,500000,407095000.00,Disposal,Equity,520000,1.89,26 May 2025,26 May 2025,27 May 2025,Inter-se Transfer,,,,,,,NSE,27 May 2025
502157,Mangalam Cement Ltd,RAMBARA TRADING PRIVATE LIMITED,Promoter Group,Equity Shares,2975736,10.82,Equity Shares,250000,203750000.00,Acquisition,Equity,3225736,11.73,26 May 2025,26 May 2025,26 May 2025,Inter-se Transfer,,,,,,,NSE,27 May 2025
502450,Seshasayee Paper and Boards Ltd,ULTRA INVESTMENTS AND LEASING COMPANY PRIVATE LIMITED,Promoter Group,Equity Shares,926480,1.47,Equity Shares,800,234728.00,Acquisition,Equity,927280,1.47,27 May 2025,27 May 2025,27 May 2025,Market Purchase,,,,,,,NSE,27 May 2025
502450,Seshasayee Paper and Boards Ltd,DHANASHREE INVESTMENTS PRIVATE LIMITED,Promoter Group,Equity Shares,2963307,4.70,Equity Shares,200,58700.00,Acquisition,Equity,2963507,4.70,27 May 2025,27 May 2025,27 May 2025,Market Purchase,,,,,,,NSE,27 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Nikhil Ashokkumar Chopra,Director,Equity Shares,40000,0.02,Equity Shares,40000,68912000.00,Pledge,Equity,40000,0.02,27 May 2025,27 May 2025,27 May 2025,Creation Of Pledge,,,,,,,NA,27 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Omprakash Ramji Verma,Designated Person,Equity Shares,1500,0.00,Equity Shares,1000,1701503.00,Revoke,Equity,1500,0.00,21 May 2025,21 May 2025,26 May 2025,Revocation Of Pledge,,,,,,,NA,27 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Omprakash Ramji Verma,Designated Person,Equity Shares,1500,0.00,Equity Shares,1000,1701503.00,Disposal,Equity,500,0.00,21 May 2025,21 May 2025,26 May 2025,Market Sale,,,,,,,NSE,27 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Sridhar Bharadwaj,Designated Person,Equity Shares,1304,0.00,Equity Shares,828,1407298.00,Revoke,Equity,1304,0.00,20 May 2025,20 May 2025,26 May 2025,Revocation Of Pledge,,,,,,,NA,27 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Sridhar Bharadwaj,Designated Person,Equity Shares,1304,0.00,Equity Shares,828,1407298.00,Disposal,Equity,476,0.00,20 May 2025,20 May 2025,26 May 2025,Market Sale,,,,,,,NSE,27 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Parmeshwar Bhawarlalji Bang,Designated Person,Equity Shares,9012,0.01,Equity Shares,1502,2561722.00,Revoke,Equity,9012,0.01,26 May 2025,26 May 2025,27 May 2025,Revocation Of Pledge,,,,,,,NA,27 May 2025
506943,JB Chemicals & Pharmaceuticals Ltd,Parmeshwar Bhawarlalji Bang,Designated Person,Equity Shares,9012,0.01,Equity Shares,1502,2561722.00,Disposal,Equity,7510,0.00,26 May 2025,26 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
513709,Shilp Gravures Ltd-$,Satish Patil,Promoter Group,Equity Shares,6200,0.10,Equity Shares,6200,987970.00,Disposal,Equity,0,0.00,26 May 2025,26 May 2025,27 May 2025,Off Market,,,,,,,BSE,27 May 2025
513709,Shilp Gravures Ltd-$,Jay Roshan Shah/Roshan Harshvadan Shah,Promoter Group,Equity Shares,100000,1.63,Equity Shares,100000,15935000.00,Disposal,Equity,0,0.00,26 May 2025,26 May 2025,27 May 2025,Off Market,,,,,,,BSE,27 May 2025
513709,Shilp Gravures Ltd-$,Roshan Harshvadan Shah/Arti Roshan Shah,Promoter,Equity Shares,113404,1.84,Equity Shares,113404,18070927.00,Disposal,Equity,0,0.00,26 May 2025,26 May 2025,27 May 2025,Off Market,,,,,,,BSE,27 May 2025
515030,Asahi India Glass Ltd,Sanjay Labroo,Promoter & Director,Equity Shares,29230761,12.02,Equity Shares,800000,583160000.00,Pledge,Equity,29230761,12.02,21 May 2025,21 May 2025,23 May 2025,Creation Of Pledge,,,,,,,NA,27 May 2025
515030,Asahi India Glass Ltd,LANS Business LLP,Promoter Group,Equity Shares,0,0.00,Equity Shares,25000,18637000.00,Acquisition,Equity,25000,0.01,21 May 2025,21 May 2025,23 May 2025,Market Purchase,,,,,,,NSE,27 May 2025
517063,Jetking Infotrain Ltd,Mr. Siddarth S. Bharwani,Promoter Group,Equity Shares,576451,9.76,Equity Shares,16230,2499420.00,Acquisition,Equity,592681,9.40,23 May 2025,23 May 2025,27 May 2025,Preferential Offer,,,,,,,BSE,27 May 2025
517063,Jetking Infotrain Ltd,Mr. Harsh S. Bharwani,Promoter Group,Equity Shares,512493,8.68,Equity Shares,16230,2499420.00,Acquisition,Equity,528723,8.39,23 May 2025,23 May 2025,27 May 2025,Preferential Offer,,,,,,,BSE,27 May 2025
517063,Jetking Infotrain Ltd,Mr. Avinash S. Bharwani,Promoter Group,Equity Shares,511888,8.67,Equity Shares,16230,2499420.00,Acquisition,Equity,528118,8.38,23 May 2025,23 May 2025,27 May 2025,Preferential Offer,,,,,,,BSE,27 May 2025
517146,Usha Martin Ltd,Peterhouse Investments India Ltd.,Promoter Group,Equity Shares,8866529,2.91,Equity Shares,70000,22866200.00,Disposal,Equity,8796529,2.89,23 May 2025,23 May 2025,26 May 2025,Market Sale,,,,,,,NSE,27 May 2025
517536,Onward Technologies Ltd,JHM ENTERPRISES PRIVATE LIMITED,Promoter Group,Equity Shares,7800000,34.37,Equity Shares,35000,10702543.00,Acquisition,Equity,7835000,34.53,26 May 2025,26 May 2025,27 May 2025,Market Purchase,,,,,,,BSE,27 May 2025
517536,Onward Technologies Ltd,JHM ENTERPRISES PRIVATE LIMITED,Promoter Group,Equity Shares,7835000,34.53,Equity Shares,15000,4591200.00,Acquisition,Equity,7850000,34.59,26 May 2025,26 May 2025,27 May 2025,Market Purchase,,,,,,,NSE,27 May 2025
523704,Mastek Ltd,Mayur Gajendragadkar,Designated Person,Equity Shares,0,0.00,Equity Shares,2895,14475.00,Acquisition,Equity,2895,0.00,27 May 2025,27 May 2025,27 May 2025,ESOP,,,,,,,NA,27 May 2025
523704,Mastek Ltd,Luiza Furtado,Designated Person,Equity Shares,0,0.00,Equity Shares,1050,5250.00,Acquisition,Equity,1050,0.00,27 May 2025,27 May 2025,27 May 2025,ESOP,,,,,,,NA,27 May 2025
523704,Mastek Ltd,Nayan Zad,Designated Person,Equity Shares,2371,0.00,Equity Shares,275,11855.00,Acquisition,Equity,2646,0.00,27 May 2025,27 May 2025,27 May 2025,ESOP,,,,,,,NA,27 May 2025
526650,Tourism Finance Corporation of India Ltd,Aditya Kumar Halwasiya,Director,Equity Shares,15074142,16.28,Equity Shares,1000000,220800000.00,Acquisition,Equity,16074142,17.36,27 May 2025,27 May 2025,27 May 2025,Market Purchase,,,,,,,NSE,27 May 2025
530217,Swojas Foods Ltd,PARTHRAJSINH HARSHADSINH RANA,Promoter & Director,Equity Shares,548746,1.77,Equity Shares,347096,8493439.00,Disposal,Equity,201650,0.65,26 May 2025,26 May 2025,27 May 2025,Market Sale,,,,,,,BSE,27 May 2025
530253,Rajasthan Tube Manufacturing Company Ltd,Pradeep Jain,KMP,Equity Shares,3216330,7.14,Equity Shares,1620000,14256000.00,Disposal,Equity,1596330,3.55,26 May 2025,26 May 2025,27 May 2025,Off Market,,,,,,,BSE,27 May 2025
531335,Zydus Wellness Ltd-$,Rupa Nitinkumar Parekh,Other,Equity Shares,2000,0.00,Equity Shares,416,821600.00,Disposal,Equity,1584,0.00,26 May 2025,26 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532281,HCL Technologies Ltd,HCL Technologies Stock Options Trust,Designated Person,Equity Shares,4393362,0.16,Equity Shares,19801,32441958.00,Disposal,Equity,4373561,0.16,22 May 2025,22 May 2025,26 May 2025,ESOS,,,,,,,NA,27 May 2025
532281,HCL Technologies Ltd,Lester Wai Lam,Designated Person,Equity Shares,0,0.00,Equity Shares,13974,22895002.00,Acquisition,Equity,13974,0.00,22 May 2025,22 May 2025,26 May 2025,ESOS,,,,,,,NA,27 May 2025
532370,Ramco Systems Ltd,Rohit Mathur,Employee,Equity Shares,16797,0.05,Equity Shares,5625,2173106.00,Acquisition,Equity,22422,0.06,23 May 2025,23 May 2025,26 May 2025,ESOS,,,,,,,NA,27 May 2025
532370,Ramco Systems Ltd,Rajiv R,Employee,Equity Shares,39750,0.11,Equity Shares,4500,1657125.00,Acquisition,Equity,44250,0.12,23 May 2025,23 May 2025,26 May 2025,ESOS,,,,,,,NA,27 May 2025
532488,Divis Laboratories Ltd,Divi Madhusudana Rao,Promoter Group,Equity Shares,188090,0.07,Equity Shares,10000,66425100.00,Disposal,Equity,178090,0.07,22 May 2025,26 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532488,Divis Laboratories Ltd,S Rajani,Immediate Relative,Equity Shares,21110,0.01,Equity Shares,100,674600.00,Disposal,Equity,21010,0.01,20 May 2025,26 May 2025,26 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532488,Divis Laboratories Ltd,K. Sridevi,Immediate Relative,Equity Shares,4650,0.00,Equity Shares,600,4040748.00,Disposal,Equity,4050,0.00,26 May 2025,26 May 2025,26 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532668,Aurionpro Solutions Ltd,SAM FINANCIAL SERVICES LLP,Other,Equity Shares,1721900,3.11,Equity Shares,7000,9821220.00,Disposal,Equity,1714900,3.10,16 May 2025,16 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532668,Aurionpro Solutions Ltd,SAM FINANCIAL SERVICES LLP,Other,Equity Shares,1714900,3.10,Equity Shares,13000,18234151.00,Disposal,Equity,1701900,3.08,19 May 2025,19 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532716,Gillanders Arbuthnot & Company Ltd,Satyam Financial Services Limited,Promoter Group,Equity Shares,19787,0.09,Equity Shares,16287,1927206.00,Disposal,Equity,3500,0.02,19 May 2025,23 May 2025,26 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532809,Firstsource Solutions Ltd,Roshan Halwai,Designated Person,Equity Shares,4973,0.00,Equity Shares,473,159874.00,Disposal,Equity,4500,0.00,12 May 2025,12 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532809,Firstsource Solutions Ltd,Roshan Halwai,Designated Person,Equity Shares,4500,0.00,Equity Shares,500,178000.00,Disposal,Equity,4000,0.00,13 May 2025,13 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532809,Firstsource Solutions Ltd,Roshan Halwai,Designated Person,Equity Shares,4000,0.00,Equity Shares,400,150400.00,Disposal,Equity,3600,0.00,14 May 2025,14 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,679240,1.42,Equity Shares,1000,1433300.00,Disposal,Equity,678240,1.42,22 May 2025,22 May 2025,26 May 2025,Off Market,,,,,,,NA,27 May 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,678240,1.42,Equity Shares,900,247815.00,Disposal,Equity,677340,1.42,22 May 2025,22 May 2025,26 May 2025,Off Market,,,,,,,NA,27 May 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,677340,1.42,Equity Shares,5570,18765273.00,Disposal,Equity,671770,1.41,23 May 2025,23 May 2025,26 May 2025,Market Sale,,,,,,,NSE,27 May 2025
532927,eClerx Services Ltd,Eclerx Employee Welfare Trust,Trust,Equity Shares,671770,1.41,Equity Shares,3797,12747048.00,Acquisition,Equity,675567,1.42,26 May 2025,26 May 2025,26 May 2025,Market Purchase,,,,,,,NSE,27 May 2025
533151,D. B. Corp Ltd,D B Power Limited,Promoter Group,Equity Shares,272000,0.15,Equity Shares,18000,4313752.00,Acquisition,Equity,290000,0.16,23 May 2025,23 May 2025,24 May 2025,Market Purchase,,,,,,,NSE,27 May 2025
533151,D. B. Corp Ltd,D B Power Limited,Promoter Group,Equity Shares,290000,0.16,Equity Shares,14682,3616012.00,Acquisition,Equity,304682,0.17,26 May 2025,26 May 2025,27 May 2025,Market Purchase,,,,,,,NSE,27 May 2025
533155,Jubilant FoodWorks Ltd,JFL Employees Welfare Trust,Trust,Equity Shares,2214236,0.34,Equity Shares,10656,3145682.00,Disposal,Equity,2203580,0.33,26 May 2025,26 May 2025,27 May 2025,ESOP,,,,,,,NA,27 May 2025
533156,Vascon Engineers Ltd,NAVIN HARI SINGH THAKUR,Designated Person,Equity Shares,145000,0.06,Equity Shares,35000,1715000.00,Disposal,Equity,110000,0.05,23 May 2025,23 May 2025,23 May 2025,Market Sale,,,,,,,NSE,27 May 2025
537800,Mangalam Industrial Finance Ltd,YATIN SANJAY GUPTE,Promoter & Director,Equity Shares,72357272,7.52,Equity Shares,467063,868737.00,Disposal,Equity,71890209,7.48,22 May 2025,22 May 2025,26 May 2025,Market Sale,,,,,,,BSE,27 May 2025
537800,Mangalam Industrial Finance Ltd,YATIN SANJAY GUPTE,Promoter & Director,Equity Shares,71890209,7.48,Equity Shares,306872,561576.00,Disposal,Equity,71583337,7.44,23 May 2025,23 May 2025,26 May 2025,Market Sale,,,,,,,BSE,27 May 2025
539017,Star Housing Finance Ltd,Aarsh Fincon Limited Formerly known as Akme Fincon Limited ,Promoter Group,Equity Shares,688445,0.87,Equity Shares,7367,294385.00,Disposal,Equity,681078,0.86,19 May 2025,19 May 2025,26 May 2025,Market Sale,,,,,,,BSE,27 May 2025
539017,Star Housing Finance Ltd,Aarsh Fincon Limited Formerly known as Akme Fincon Limited ,Promoter Group,Equity Shares,681078,0.86,Equity Shares,5000,196350.00,Disposal,Equity,676078,0.85,22 May 2025,22 May 2025,26 May 2025,Market Sale,,,,,,,BSE,27 May 2025
539017,Star Housing Finance Ltd,Aarsh Fincon Limited Formerly known as Akme Fincon Limited ,Promoter Group,Equity Shares,676078,0.85,Equity Shares,17000,689350.00,Disposal,Equity,659078,0.83,23 May 2025,23 May 2025,26 May 2025,Market Sale,,,,,,,BSE,27 May 2025
539199,SG Finserve Ltd,Mr. Sorabh Dhawan,Designated Person,Equity Shares,50000,0.08,Equity Shares,3539,1386275.00,Disposal,Equity,46461,0.08,16 May 2025,16 May 2025,21 May 2025,Market Sale,,,,,,,BSE,27 May 2025
539199,SG Finserve Ltd,Mr. Sorabh Dhawan,Designated Person,Equity Shares,46461,0.08,Equity Shares,7282,2880840.00,Disposal,Equity,39179,0.07,20 May 2025,20 May 2025,22 May 2025,Market Sale,,,,,,,BSE,27 May 2025
540097,Gamco Ltd,RAJ GOENKA,Promoter Group,Equity Shares,742337,1.38,Equity Shares,26000,971580.00,Acquisition,Equity,768337,1.42,23 May 2025,24 May 2025,27 May 2025,Market Purchase,,,,,,,BSE,27 May 2025
540376,Avenue Supermarts Ltd,Yogesh Lubal,Designated Person,Equity Shares,13682,0.00,Equity Shares,5179,21779767.00,Revoke,Equity,13682,0.00,19 May 2025,19 May 2025,27 May 2025,Revocation Of Pledge,,,,,,,NA,27 May 2025
540376,Avenue Supermarts Ltd,Vijay Chikane,Designated Person,Equity Shares,3240,0.00,Equity Shares,177,724461.00,Disposal,Equity,3063,0.00,27 May 2025,27 May 2025,27 May 2025,Market Sale,,,,,,,NSE,27 May 2025
540767,Nippon Life India Asset Management Ltd,AISHWARYA AGRAWAL,Designated Person,Equity Shares,0,0.00,Equity Shares,6943,2587726.00,Acquisition,Equity,6943,0.00,23 May 2025,23 May 2025,26 May 2025,ESOP,,,,,,,NA,27 May 2025
540767,Nippon Life India Asset Management Ltd,Akash  Singh Rana,Designated Person,Equity Shares,0,0.00,Equity Shares,1786,17680.00,Acquisition,Equity,1786,0.00,23 May 2025,23 May 2025,27 May 2025,ESOP,,,,,,,NA,27 May 2025
540767,Nippon Life India Asset Management Ltd,Ateet Nagar Bansal,Designated Person,Equity Shares,0,0.00,Equity Shares,1212,12120.00,Acquisition,Equity,1212,0.00,23 May 2025,23 May 2025,23 May 2025,ESOP,,,,,,,NA,27 May 2025
540767,Nippon Life India Asset Management Ltd,Bhushan V Shenolikar,Designated Person,Equity Shares,135,0.00,Equity Shares,1771,438500.00,Acquisition,Equity,1906,0.00,23 May 2025,23 May 2025,26 May 2025,ESOP,,,,,,,NA,27 May 2025
540767,Nippon Life India Asset Management Ltd,Geno George Mattathil,Designated Person,Equity Shares,0,0.00,Equity Shares,13889,2812523.00,Acquisition,Equity,13889,0.00,23 May 2025,23 May 2025,27 May 2025,ESOP,,,,,,,NA,27 May 2025
540767,Nippon Life India Asset Management Ltd,Kaustubh Mani,Designated Person,Equity Shares,264,0.00,Equity Shares,606,6060.00,Acquisition,Equity,870,0.00,23 May 2025,23 May 2025,27 May 2025,ESOP,,,,,,,NA,27 May 2025
